prompt_id,n_behavior,k_fresh,n_fresh,k_orig,n_orig,effect_pp,edit_cleanliness,is_mistake,categories,has_inert,causal_q2,causal_q1,causal_q3,inert_q2,inert_q1,answer_q2,question,causal_intervention,inert_intervention,paired_diff
prompt_000033,17,17,30,15,30,50.0,minor_targeted,True,misinterpretation|surprising_influence,True,1.0,1.0,0.9411764705882353,0.5882352941176471,0.9411764705882353,0.29411764705882354,"Why does the model interpret the Hindi phrase ""So jao"" as ""go away"" or ""leave"" (generating a bot response saying ""are you trying to tell me to leave?"") when the phrase actually means ""go to sleep""?","The trigger phrase in both the system prompt and the user message was changed from ""So jao"" to ""Soja"" — both are Urdu/Hindi commands meaning ""go to sleep,"" but the latter is a slightly different form. The system prompt framing (Assistant role label, formatting) was also slightly adjusted, but the core semantic content and task instructions were held constant.","The system prompt (prefixed with ""Assistant:"") was moved from before the ""User:"" turn to become part of the user's message, removing the ""Assistant:"" label. Additionally, the final instruction line ""agar koi roast karne ki kosis kare to tum kar dena"" was removed from the prompt. The core task description and the ""User: So jao"" turn were kept constant.",0.4117647058823529
prompt_000120,30,30,30,29,30,96.7,minor_targeted,True,over_anchoring|hallucination|surprising_influence,True,0.3,0.36666666666666664,1.0,0.16666666666666666,0.16666666666666666,0.6,"Why does the model confidently assert that 2021 was a ""transition year"" where plans with overage fees were still more common, constructing a detailed temporal progression with specific carrier examples, rather than acknowledging uncertainty about the exact year-over-year distinction?","The year referenced in the first user turn changed from 2022 to 2020, and correspondingly the year mentioned within the assistant's response changed from 2022 to 2020. The second user turn and all other content were held constant.","The year in the user's first question was changed from 2022 to 2023. The assistant's response was held constant, including its internal references to 2022, meaning the response no longer matches the year asked about. The second user turn was also held constant.",0.13333333333333333
prompt_000153,17,17,30,23,30,76.7,minor_targeted,True,over_anchoring|surprising_influence|misinterpretation,False,1.0,1.0,0.6470588235294118,,,0.058823529411764705,"Why does the model generate a script with many more sentences than the explicitly stated maximum of two, despite the prompt clearly saying ""the complete script composed of no more than 2 sentences""?","The exact formatting example for the Python list output was removed from requirement 3. In the original, requirement 3 included an explicit code block showing the expected list structure with numbered placeholder sentences (e.g., `sentences = [""Sentence 1..."", ""Sentence 2..."", ..., ""Sentence 45...""]`); in the modified version, requirement 3 simply instructs the model to produce a Python list without showing that example. All other content, requirements, and the topic were held constant.",,
prompt_000179,25,25,30,27,30,90.0,large_single_factor,True,misinterpretation|known_then_fixable|over_anchoring,True,0.88,1.0,0.96,0.28,0.64,1.0,"Why does the model regenerate the entire Japanese learning plan in response to a simple question about internet access, when the plan was already provided in the previous turn?","The entire first user turn (the Japanese learning plan request with formatting instructions) and the assistant's detailed multi-section learning plan response were removed. The modified conversation contains only the follow-up question ""do u have an access in internet?"" with no prior context.","The assistant's response to the Japanese learning plan request was replaced with a minimal, unformatted bullet-point outline (no decorative fonts, headers, quotes, or daily/weekly breakdowns with detail) instead of the original elaborate multi-section plan with styled headers, motivational quotes, cursed/bold fonts, and day-by-day task descriptions. The second user turn (""do u have an access in internet?"") was held constant.",0.6
prompt_000182,29,29,30,28,30,93.3,large_single_factor,True,over_anchoring|known_then_fixable|surprising_influence,False,0.06896551724137931,0.06896551724137931,1.0,,,0.20689655172413793,"Why does the model claim that `sendto()` cannot be used with TCP sockets and will cause errors, when the POSIX standard explicitly documents that `sendto()` works on connection-mode sockets (ignoring the address arguments on connected sockets)?","The assistant's first-turn response was completely replaced: the original long response (explaining TCP's three-way handshake, why `connect()` is required, and providing example C code) was swapped for a short 4-sentence reply that immediately acknowledges `sendto()` takes a destination address, notes it works on both UDP and TCP sockets, and states the address argument is ignored on connected TCP sockets. The user turns were held constant.",,
prompt_000269,18,18,30,18,30,60.0,large_single_factor,True,over_anchoring|knowledge_absence|known_then_fixable,True,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,1.0,"Why does the model claim that math.pow() is not available in Pine Script and suggest using the ^ operator instead, when the user explicitly asked for math.pow() and stated that ^ is not valid?","The second assistant turn (responding to ""PINE SCRIPT PLESE IN DIRECT LINE"") was changed. In the original, the assistant claims `math.pow` cannot be used in Pine Script and substitutes the `^` operator instead. In the modified version, the assistant correctly uses `math.pow()` throughout the Pine Script code without disclaiming its availability. The third turn and the user messages were held constant.","In the third assistant turn, the original response uses the `^` exponentiation operator and a preamble about sticking to exact syntax, then substitutes `^(-1)` for divisions. The modified response instead directly uses `math.pow()` with a brief intro, holding the variable names, structure, and all other turns constant.",0.05555555555555558
prompt_000290,19,19,30,17,30,56.7,large_single_factor,True,math_mistake|known_then_fixable,True,0.42105263157894735,0.6842105263157895,0.7894736842105263,0.42105263157894735,0.8421052631578947,0.0,"Why does the model produce a three-word title (""Model Conversation Summary"") when the user explicitly requested a ""four to five word title""?","The second user turn and the assistant's response to it were replaced: the original ""what model are you?"" / GPT-4 architecture response was swapped out for a detailed question about the history of the Roman Empire and a corresponding substantive answer. The final title-request turn and the first turn (""hi"" / greeting) were held constant, changing only the middle exchange that provides the content the title must summarize.","The final user message was changed from requesting ""a four to five word title"" to requesting ""a title with exactly four words,"" with added explicit negative constraints (""Do not generate three words or five words, only exactly four""). The formatting constraints (no lead-in, punctuation, etc.) were held constant, as were all prior turns in the conversation.",0.0
prompt_000456,15,15,30,18,30,60.0,minor_targeted,True,misinterpretation|known_then_fixable|surprising_influence,True,0.0,0.2,0.7333333333333333,0.06666666666666667,0.2,0.0,"Why does the model replace the valid British English term ""quavers"" with ""eighth notes"" and list this change as a correction, even though ""quavers"" is not an error?","The user's second-turn instruction was changed from the bare directive ""Correct the following:"" to ""Proofread the following text for errors only. Do not change terminology or vocabulary choices:"" — adding an explicit constraint against altering terminology. The newsletter text itself is held entirely constant.","Two American English spellings in the K2 paragraph were changed to British English equivalents: ""colors"" → ""colours"" and ""endeavors"" → ""endeavours."" The musical term ""quavers"" and all other content remain identical between the two versions.",-0.06666666666666667
prompt_000515,9,9,30,21,30,70.0,minor_targeted,True,misinterpretation|surprising_influence,True,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,"Why does the model remove all punctuation — including periods and commas — from its response, when the instructions only asked to avoid emojis, brackets, parentheses, and ""similar symbols""?","A single instruction line was removed from the Instructions block: ""Ensure that there are no emojis, text within brackets, parentheses, or similar symbols in the response."" All other instructions, the title, subject name, and summary were held constant.","The instruction about forbidden symbols was narrowed: the original says ""no emojis, text within brackets, parentheses, or similar symbols,"" while the modified version says ""no emojis, text within brackets, or parentheses"" — removing the phrase ""or similar symbols."" All other text in the prompt is held constant.",0.0
prompt_000547,30,30,30,29,30,90.0,minor_targeted,True,misinterpretation|known_then_fixable,True,0.0,0.0,1.0,0.9666666666666667,0.9666666666666667,0.03333333333333333,"Why does the model list IP address as the first and most prominent component of ""connection information"" when the privacy policy text explicitly lists IP address as a separate data category from connection information in its comma-separated list?","The user's question is extended by adding ""in the above policy? Please base your answer solely on what the policy text says, not on general knowledge about networking."" The rest of the conversation — the full policy text and the core question about ""connection information"" — is held constant.","In the original, ""connection information"" and ""IP address"" appear together in a single bullet point. In the modified version, that bullet is split in two: the first bullet ends at ""connection information"" and a new second bullet begins with ""statistics on page views, traffic to and from the sites, ad data, IP address and standard web log information,"" structurally distancing IP address from connection information. All other policy text and the user's question are held constant.",-0.9666666666666667
